ID,City,Latitude,Longitude
32,DELHI,28.6139,77.209
4,AHMEDABAD,23.0225,72.5714
5,AIZAWL,23.7271,92.7176
14,BENGALURU,12.9716,77.5946
24,CHENNAI,13.0827,80.2707
35,DIBRUGARH,27.4728,94.9119
36,DIMAPUR,25.7951,93.9501
44,GUWAHATI,26.1445,91.7362
48,IMPHAL,24.817,93.9368
70,KOCHI,9.9312,76.2673
72,KOLKATA,22.5726,88.3639
104,SHILLONG,25.5788,91.8933
125,VISAKHAPATNAM,17.6868,83.2185
17,BHOPAL,23.2599,77.4126
53,JAIPUR,26.9124,75.7873
79,LUCKNOW,26.8467,80.9462
85,MUMBAI,19.076,72.8777
8,AMRITSAR,31.7055,74.8023
11,BAGDOGRA,26.6831,88.3285
13,BELGAUM,15.862,74.5085
18,BHUBANESWAR,20.2961,85.8245
19,BHUJ,23.2531,69.6693
23,CHANDIGARH,30.7333,76.7794
25,COIMBATORE,11.0168,76.9558
28,DABOLIM,15.3801,73.8341
30,DEHRA DUN,30.3165,78.0322
31,DEHRADUN,30.3165,78.0322
37,DIU,20.7141,70.9822
38,DURGAPUR,23.5505,87.2885
41,GOA,15.2993,74.124
47,HYDERABAD,17.385,78.4867
49,INDORE,22.7196,75.8577
54,JAISALMER,26.9155,70.9083
55,JAMMU,32.7266,74.857
60,JODHPUR,26.2389,73.0243
71,KOLHAPUR,16.705,74.2433
87,NAGPUR,21.1458,79.0882
88,NASIK,19.9975,73.7898
90,PANTNAGAR,29.0328,79.4737
92,PATNA,25.5941,85.1376
94,PORT BLAIR,11.6234,92.7265
95,PUNE,18.5204,73.8567
96,RAIPUR,21.2514,81.6296
98,RAJKOT,22.3039,70.8022
100,RANCHI,23.3441,85.3096
110,SRINAGAR,34.0837,74.7973
111,SURAT,21.1702,72.8311
116,TRIVANDRUM,8.5241,76.9366
118,UDAIPUR,24.5854,73.7125
121,VADODARA,22.3072,73.1812
122,VARANASI,25.3176,82.9739
107,SILCHAR,24.8278,92.797
22,BILASPUR,22.0807,82.15
43,GORAKHPUR,26.7606,83.3732
74,KULLU,31.9566,77.1095
108,SIMLA,31.1048,77.1734
115,TIRUPATI,13.6288,79.4192
20,BIDAR,17.9133,77.5301
27,CUDDAPAH,14.4786,78.8236
29,DARBHANGA,26.1522,85.896
45,GWALIOR,26.2183,78.1828
46,HUBLI,15.3647,75.1239
56,JAMNAGAR,22.4707,70.0577
59,JHARSUGUDA,21.868,84.0222
61,JORHAT,26.7465,94.202
62,KADAPA,14.4674,78.8242
63,KALABURAGI,17.3297,76.8372
65,KANNUR,11.8745,75.3704
66,KANPUR,26.4499,80.3319
73,KOZHIKODE,11.2588,75.7804
75,KURNOOL,15.8281,78.0373
81,MADURAI,9.9252,78.1198
83,MANGALORE,12.9141,74.856
93,PONDICHERRY,11.9416,79.8083
97,RAJAHMUNDRY,17.6868,83.2185
99,RAJKOT INTERNATIONAL AIRPORT,22.3039,70.8022
103,SALEM,11.6643,78.146
105,SHIRDI,19.7515,74.4773
106,SHIVAMOGGA AIRPORT,13.3986,74.7421
114,TIRUCHIRAPALLY,10.7905,78.7047
117,TUTICORIN,8.7642,78.1348
123,VIDYANAGAR,15.389,75.091
124,VIJAYAWADA,16.5062,80.648
40,GHAZIABAD,28.6692,77.4538
57,JAMSHEDPUR,22.8056,86.1711
58,JEYPORE,18.8564,82.5644
101,ROURKELA,22.2604,84.8536
119,UTKELA,20.1463,83.1822
51,JABALPUR,23.1815,79.9864
34,DHARAMSALA,32.219,76.3234
77,LEH,34.1526,77.5771
86,MYSORE,12.2958,76.6394
10,AYODHYA INTERNATIONAL AIRPORT,26.7271,82.1829
33,DEOGHAR,24.482,86.6956
39,GAYA,24.7964,85.0077
50,ITANAGAR,27.0978,93.6237
52,JAGDALPUR,19.0822,82.0212
64,KANDLA,23.0046,70.2167
68,KHAJURAHO,24.817,79.9342
76,KUSHINAGAR INTERNATIONAL AIRPORT,26.7401,83.3706
89,PAKYONG,27.3325,88.6159
120,UTTARLAI,25.8036,71.4104
113,TEZU,27.9161,96.161
78,LILABARI,27.2955,94.0977
67,KESHOD,21.3177,70.271
80,LUDHIANA,30.901,75.8573
91,PASIGHAT,28.0665,95.3269
102,RUPSI,26.1511,89.9652
112,TEZPUR,26.7095,92.7917
126,ZERO AIRPORT,27.5915,93.8287
127,ZIRO,27.5564,93.8287
82,MALVAN,16.0662,73.4665
109,SINDHUDURG AIRPORT,16.2391,73.649
0,ADAMPUR,31.4332,75.758
1,AGARTALA,23.8315,91.2868
2,AGATTI ISLAND,10.8231,72.1768
3,AGRA,27.1767,78.0081
6,AJMER,26.4499,74.6399
7,ALLAHABAD,25.4358,81.8463
9,AURANGABAD,19.8762,75.3433
12,BAREILLY,28.367,79.4304
15,BHATINDA,30.1709,74.9153
16,BHAVNAGAR,21.7645,72.1519
21,BIKANER,28.0229,73.3119
26,COOCH BEHAR,26.3254,89.4414
42,GONDIA,21.4602,80.192
69,KISHANGARH,26.5758,74.8402
84,"MOPA, GOA",15.3888,73.8335
